rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[2.24 0.59 8.92],14103,2649,701,10753,8,2,1,5,19,17,23,2
[2.24 2.24 0.59],5958,2612,2685,661,3,1,1,1,8,7,9,2
[2.24 2.24 2.24],8186,2724,2740,2722,4,1,1,2,10,10,11,3
[2.24 2.24 4.  ],10058,2667,2594,4797,5,2,1,2,13,11,15,2
[2.24 2.24 6.79],13412,2656,2592,8164,7,2,1,4,17,15,21,2
[2.24 2.24 7.11],14057,2790,2682,8585,6,1,1,4,14,14,18,3
[2.24 2.24 8.09],14953,2697,2686,9570,7,1,1,5,16,15,19,2
[2.24 2.24 8.92],16147,2822,2727,10598,8,2,1,5,19,17,24,2
[2.24 4.   0.59],8294,2745,4828,721,3,1,1,1,8,8,8,3
[2.24 4.   2.24],10326,2701,4958,2667,3,1,1,1,8,8,10,3
[2.24 4.   4.  ],12250,2732,4682,4836,5,1,1,3,12,12,18,3
[2.24 4.   6.79],15722,2733,4791,8198,5,1,1,3,12,12,21,3
[2.24 4.   7.11],16061,2780,4807,8474,6,1,1,4,14,14,18,3
[2.24 4.   8.09],17294,2781,4829,9684,6,1,1,4,14,13,18,2
[2.24 4.   8.92],18046,2664,4756,10626,8,1,1,6,18,18,25,3
[2.24 6.79 0.59],11578,2699,8150,729,4,1,2,1,11,11,19,3
[2.24 6.79 2.24],13616,2732,8153,2731,5,1,2,2,13,13,22,3
[2.24 6.79 4.  ],15835,2748,8225,4862,5,1,2,2,13,13,22,3
[2.24 6.79 6.79],19115,2700,8108,8307,8,1,2,5,19,19,30,3
[2.24 6.79 7.11],19346,2711,8031,8604,8,1,2,5,19,19,30,3
[2.24 6.79 8.09],20759,2696,8253,9810,9,1,2,6,21,21,34,3
[2.24 6.79 8.92],21384,2632,8014,10738,9,2,2,5,22,22,35,3
[2.24 7.11 0.59],11990,2669,8609,712,5,2,2,1,14,12,20,2
[2.24 7.11 2.24],14019,2630,8661,2728,7,2,4,1,20,18,25,1
[2.24 7.11 4.  ],16155,2697,8523,4935,6,1,2,3,15,15,24,3
[2.24 7.11 6.79],19197,2662,8526,8009,8,2,2,4,20,20,32,3
[2.24 7.11 7.11],19857,2708,8599,8550,7,1,2,4,17,17,33,3
[2.24 7.11 8.09],20816,2674,8471,9671,7,1,2,4,17,15,29,1
[2.24 7.11 8.92],21948,2766,8413,10769,8,1,2,5,19,19,31,3
[2.24 8.09 0.59],13105,2634,9740,731,6,2,2,2,16,15,24,1
[2.24 8.09 2.24],15206,2648,9774,2784,5,2,2,1,14,14,26,3
[2.24 8.09 4.  ],16856,2646,9450,4760,6,2,2,2,16,13,25,2
[2.24 8.09 6.79],20511,2709,9652,8150,7,1,2,4,17,17,28,3
[2.24 8.09 7.11],20556,2614,9637,8305,11,2,5,4,29,19,40,0
[2.24 8.09 8.09],22236,2739,9865,9632,8,1,2,5,19,19,32,3
[2.24 8.09 8.92],23096,2629,9810,10657,11,3,3,5,28,23,43,2
[2.24 8.92 0.59],13938,2705,10497,736,5,1,2,2,13,12,20,1
[2.24 8.92 2.24],16064,2775,10688,2601,5,1,2,2,13,13,27,3
[2.24 8.92 4.  ],18225,2684,10680,4861,5,1,2,2,13,13,25,3
[2.24 8.92 6.79],21539,2623,10759,8157,9,2,3,4,23,23,44,3
[2.24 8.92 7.11],21839,2707,10592,8540,8,1,2,5,19,19,35,3
[2.24 8.92 8.09],23253,2673,10818,9762,9,1,3,5,22,22,40,3
[2.24 8.92 8.92],24113,2618,10732,10763,10,2,3,5,25,22,44,2
[4.   0.59 0.59],6224,4803,715,706,5,3,1,1,14,13,17,1
[4.   0.59 2.24],8362,4920,713,2729,5,2,1,2,13,13,16,3
[4.   0.59 4.  ],10436,4840,718,4878,6,3,1,2,16,16,21,3
[4.   0.59 6.79],13609,4830,733,8046,8,3,1,4,20,19,26,2
[4.   0.59 7.11],14014,4697,719,8598,7,2,1,4,17,17,23,3
[4.   0.59 8.09],15160,4771,716,9673,7,2,1,4,17,16,23,2
[4.   0.59 8.92],16290,4866,684,10740,9,2,1,6,21,20,27,2
[4.   2.24 0.59],8257,4822,2713,722,5,3,1,1,14,12,16,2
[4.   2.24 2.24],10017,4755,2640,2622,4,2,1,1,11,11,14,3
[4.   2.24 4.  ],12547,4927,2727,4893,5,2,1,2,13,13,17,3
[4.   2.24 6.79],15584,4715,2668,8201,8,2,1,5,19,19,25,3
[4.   2.24 7.11],16007,4735,2699,8573,7,2,1,4,17,17,22,3
[4.   2.24 8.09],17230,4775,2719,9736,8,2,1,5,19,18,26,2
[4.   2.24 8.92],18147,4787,2686,10674,9,3,1,5,22,19,26,2
[4.   4.   0.59],10405,4867,4840,698,5,3,1,1,14,13,17,1
[4.   4.   2.24],12189,4764,4764,2661,4,2,1,1,11,11,17,3
[4 4 4],14491,4794,4910,4787,6,3,1,2,16,13,25,2
[4.   4.   6.79],17844,4666,4855,8323,7,2,1,4,17,17,24,3
[4.   4.   7.11],18058,4730,4800,8528,8,3,1,4,20,17,25,2
[4.   4.   8.09],19333,4691,4820,9822,9,3,1,5,22,20,28,2
[4.   4.   8.92],20482,4783,4919,10780,10,3,2,5,25,22,36,2
[4.   6.79 0.59],13698,4793,8202,703,6,3,2,1,17,14,24,2
[4.   6.79 2.24],15771,4823,8302,2646,7,4,2,1,20,16,27,2
[4.   6.79 4.  ],17749,4745,8175,4829,7,2,2,3,18,18,32,3
[4.   6.79 6.79],21230,4820,8114,8296,9,3,2,4,23,18,38,0
[4.   6.79 7.11],21514,4810,8218,8486,9,3,2,4,23,23,37,3
[4.   6.79 8.09],22624,4663,8250,9711,11,3,2,6,27,27,44,3
[4.   6.79 8.92],23666,4753,8104,10809,13,5,2,6,33,28,44,2
[4.   7.11 0.59],14237,4816,8707,714,6,3,1,2,16,16,25,1
[4.   7.11 2.24],16209,4894,8589,2726,7,3,2,2,19,19,36,3
[4.   7.11 4.  ],17996,4792,8457,4747,6,2,2,2,16,16,29,3
[4.   7.11 6.79],21530,4764,8430,8336,8,2,2,4,20,20,33,3
[4.   7.11 7.11],21841,4676,8567,8598,8,2,2,4,20,18,35,2
[4.   7.11 8.09],23175,4852,8568,9755,10,3,2,5,25,25,43,3
[4.   7.11 8.92],24056,4836,8580,10640,10,4,1,5,25,22,34,2
[4.   8.09 0.59],15197,4716,9762,719,5,2,2,1,14,14,25,3
[4.   8.09 2.24],17275,4778,9837,2660,5,2,2,1,14,14,24,3
[4.   8.09 4.  ],19068,4700,9628,4740,8,2,3,3,21,21,39,3
[4.   8.09 6.79],22540,4642,9664,8234,9,3,2,4,23,20,38,2
[4.   8.09 7.11],22966,4834,9760,8372,9,3,2,4,23,23,39,3
[4.   8.09 8.09],24252,4833,9859,9560,10,3,2,5,25,25,42,3
[4.   8.09 8.92],25135,4736,9648,10751,9,2,2,5,22,22,36,3
[4.   8.92 0.59],16292,4887,10697,708,7,2,3,2,19,16,27,1
[4.   8.92 2.24],18242,4740,10802,2700,6,2,3,1,17,17,34,3
[4.   8.92 4.  ],20398,4835,10791,4772,9,3,3,3,24,22,34,1
[4.   8.92 6.79],23529,4796,10692,8041,9,2,4,3,24,18,37,0
[4.   8.92 7.11],24079,4835,10742,8502,10,3,3,4,26,26,48,3
[4.   8.92 8.09],25316,4795,10765,9756,10,3,2,5,25,22,45,2
[4.   8.92 8.92],26363,4838,10773,10752,10,3,2,5,25,25,43,3
