rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[4.   2.24 4.  ],12407,4860,2685,4862,6,3,1,2,16,16,21,3
[4.   4.   0.59],10493,4888,4895,710,4,2,1,1,11,10,13,1
[4.   4.   2.24],12360,4902,4793,2665,4,2,1,1,11,11,19,3
[4 4 4],14525,4852,4795,4878,6,3,1,2,16,16,27,3
[0.59 0.59 0.59],2133,720,679,734,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4136,735,730,2671,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6378,716,717,4945,5,1,1,3,12,11,13,2
[0.59 2.24 0.59],4076,724,2630,722,2,1,0,1,5,5,5,2
[0.59 2.24 2.24],6143,666,2666,2811,4,1,1,2,10,9,10,2
[0.59 2.24 4.  ],8111,700,2631,4780,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6380,754,4899,727,3,1,1,1,8,8,9,1
[0.59 4.   2.24],8313,733,4873,2707,5,1,2,2,13,11,12,1
[0.59 4.   4.  ],10221,724,4756,4741,4,1,1,2,10,9,12,2
[2.24 0.59 0.59],4131,2729,695,707,3,1,1,1,8,7,7,1
[2.24 0.59 2.24],6014,2607,675,2732,4,2,1,1,11,10,11,2
[2.24 0.59 4.  ],8281,2703,748,4830,5,1,1,3,12,12,14,3
[2.24 2.24 0.59],6135,2644,2732,759,3,1,1,1,8,8,8,3
[2.24 2.24 2.24],8176,2738,2747,2691,3,1,1,1,8,8,9,3
[2.24 2.24 4.  ],10087,2709,2712,4666,4,1,1,2,10,10,11,1
[2.24 4.   0.59],8123,2643,4801,679,5,2,1,2,13,10,16,0
[2.24 4.   2.24],10209,2741,4680,2788,3,1,1,1,8,8,10,1
[2.24 4.   4.  ],12362,2744,4800,4818,5,1,2,2,13,13,21,3
[4.   0.59 0.59],6116,4704,727,685,3,2,0,1,8,8,10,3
[4.   0.59 2.24],8249,4877,709,2663,5,3,1,1,14,12,16,2
[4.   0.59 4.  ],10341,4846,708,4787,6,3,1,2,16,14,20,2
[4.   2.24 0.59],8231,4922,2627,682,4,2,1,1,11,11,13,3
[4.   2.24 2.24],10114,4661,2772,2681,4,2,1,1,11,11,13,3
[4.   2.24 4.  ],12448,4790,2708,4950,5,2,1,2,13,11,17,2
[4.   4.   0.59],10201,4668,4851,682,4,2,1,1,11,11,14,3
[4.   4.   2.24],12344,4790,4839,2715,5,2,1,2,13,13,18,3
[4 4 4],14438,4961,4703,4774,7,4,1,2,19,16,24,2
[0.59 0.59 0.59],2100,678,713,709,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4181,720,726,2735,4,1,1,2,10,9,10,2
[0.59 0.59 4.  ],6122,679,691,4752,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],4124,735,2685,704,3,1,1,1,8,6,7,0
[0.59 2.24 2.24],5868,725,2554,2589,3,1,1,1,8,7,8,2
[0.59 2.24 4.  ],8402,711,2728,4963,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6441,718,5009,714,3,1,1,1,8,8,9,1
[0.59 4.   2.24],8312,692,4851,2769,3,1,1,1,8,7,8,2
[0.59 4.   4.  ],10110,748,4626,4736,5,1,1,3,12,12,14,3
[2.24 0.59 0.59],4053,2660,678,715,3,1,1,1,8,6,7,0
[2.24 0.59 2.24],6082,2675,727,2680,5,3,1,1,14,11,12,2
[2.24 0.59 4.  ],8136,2698,703,4735,4,1,1,2,10,9,11,2
[2.24 2.24 0.59],6019,2647,2662,710,4,2,1,1,11,8,9,0
[2.24 2.24 2.24],8063,2631,2729,2703,5,2,1,2,13,10,12,0
[2.24 2.24 4.  ],10222,2618,2674,4930,6,2,1,3,15,13,17,2
[2.24 4.   0.59],8167,2647,4773,747,4,2,1,1,11,9,16,2
[2.24 4.   2.24],10144,2727,4744,2673,3,1,1,1,8,8,9,3
[2.24 4.   4.  ],12143,2602,4740,4801,6,2,1,3,15,13,17,2
[4.   0.59 0.59],6196,4780,726,690,4,2,1,1,11,8,12,0
[4.   0.59 2.24],8122,4741,703,2678,4,2,1,1,11,9,11,2
[4.   0.59 4.  ],10320,4805,730,4785,6,3,1,2,16,13,19,2
[4.   2.24 0.59],8187,4745,2712,730,4,2,1,1,11,10,12,1
[4.   2.24 2.24],10171,4819,2662,2690,5,3,1,1,14,12,16,2
[4.   2.24 4.  ],12233,4734,2670,4829,6,2,1,3,15,15,19,3
[4.   4.   0.59],10308,4843,4774,691,4,2,1,1,11,11,17,3
[4.   4.   2.24],12600,4897,4906,2797,5,2,2,1,14,13,17,1
[4 4 4],14362,4793,4771,4798,5,2,1,2,13,13,21,3
[0.59 0.59 0.59],2115,683,729,703,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],3993,691,692,2610,4,1,2,1,11,7,10,0
[0.59 0.59 4.  ],6197,685,777,4735,5,1,1,3,12,11,13,2
[0.59 2.24 0.59],4048,695,2643,710,3,1,1,1,8,7,7,2
[0.59 2.24 2.24],6118,716,2693,2709,3,1,1,1,8,8,8,1
[0.59 2.24 4.  ],8297,694,2660,4943,5,1,1,3,12,11,13,2
[0.59 4.   0.59],6222,705,4827,690,3,1,1,1,8,7,7,2
[0.59 4.   2.24],8254,710,4852,2692,3,1,1,1,8,7,10,2
[0.59 4.   4.  ],10390,713,4787,4890,4,1,1,2,10,9,16,2
