rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[8.09 2.42 2.42],15525,9693,2907,2925,13,9,1,3,36,36,37,0.002318840579710145,0.002383252818035427,3
[8.92 2.67 2.67],17114,10651,3271,3192,14,10,1,3,39,34,39,0.0019866775739160922,0.0022788360406684584,2
[0.59  0.177 0.177],1104,688,226,190,3,1,1,1,8,6,6,0.005434782608695652,0.005434782608695652,0
[2.24  0.672 0.672],4313,2700,793,820,3,2,0,1,8,8,8,0.0018548574078367727,0.0018548574078367727,1
[4.  1.2 1.2],7926,4964,1466,1496,7,5,1,1,20,20,21,0.0025233409033560434,0.002649507948523845,3
[6.79 2.03 2.03],13168,8233,2437,2498,13,9,2,2,37,30,36,0.002278250303766707,0.0027339003645200487,0
[7.11 2.13 2.13],13613,8557,2486,2570,12,8,1,3,33,29,33,0.002130316609123632,0.002424153382795857,2
[8.09 2.42 2.42],15735,9836,2963,2936,14,10,2,2,40,34,39,0.002160788052113124,0.002478551000953289,2
[8.92 2.67 2.67],17153,10748,3130,3275,15,11,1,3,42,36,42,0.002098758234711129,0.002448551273829651,2
[0.59  0.177 0.177],1114,706,202,206,3,1,1,1,8,6,6,0.005385996409335727,0.005385996409335727,0
[2.24  0.672 0.672],4305,2729,794,782,4,2,1,1,11,9,10,0.0020905923344947735,0.0023228803716608595,0
[4.  1.2 1.2],7511,4724,1383,1404,7,4,1,2,19,16,19,0.0021302090267607513,0.0025296232192783923,0
[6.79 2.03 2.03],13004,8079,2475,2450,11,8,1,2,31,31,32,0.002383881882497693,0.0024607812980621353,3
[7.11 2.13 2.13],13686,8661,2400,2625,13,9,2,2,37,30,36,0.0021920210434020165,0.00263042525208242,0
[8.09 2.42 2.42],15488,9677,2859,2952,14,9,1,4,38,37,41,0.0023889462809917354,0.002647210743801653,1
[8.92 2.67 2.67],17196,10825,3220,3151,15,10,1,4,41,36,41,0.0020935101186322397,0.002384275412886718,2
[0.59  0.177 0.177],1151,730,204,217,3,1,1,1,8,6,6,0.0052128583840139004,0.0052128583840139004,0
[2.24  0.672 0.672],4121,2585,760,776,5,3,1,1,14,11,12,0.0026692550351856345,0.0029119145838388738,0
[4.  1.2 1.2],7631,4659,1453,1519,8,5,1,2,22,18,21,0.0023587996330756127,0.002751932905254881,0
[6.79 2.03 2.03],13124,8187,2438,2499,11,8,1,2,31,27,31,0.0020572996037793354,0.002362084730265163,2
[7.11 2.13 2.13],13495,8412,2484,2599,11,8,1,2,31,26,31,0.0019266394961096702,0.0022971470915153767,2
[8.09 2.42 2.42],15480,9765,2793,2922,14,10,1,3,39,33,39,0.002131782945736434,0.0025193798449612407,2
[8.92 2.67 2.67],17105,10708,3230,3167,15,10,2,3,42,34,42,0.0019877228880444318,0.002455422391113709,0
[0.59  0.177 0.177],1117,694,199,224,3,1,1,1,8,6,6,0.005371530886302597,0.005371530886302597,0
