rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
4.5,136,274,124,577,0.4525547445255474,4.653225806451613,3
5.0,141,295,157,738,0.5322033898305085,4.70063694267516,3
5.5,149,314,178,845,0.5668789808917197,4.747191011235955,3
6.0,200,410,250,1200,0.6097560975609756,4.8,3
0.5,17,26,6,9,0.2307692307692308,1.5,0
1.0,26,62,34,144,0.5483870967741935,4.235294117647058,2
1.5,31,73,32,129,0.4383561643835616,4.03125,2
2.0,61,143,75,345,0.5244755244755245,4.6,2
2.5,76,132,50,216,0.3787878787878788,4.32,3
3.0,87,152,96,444,0.631578947368421,4.625,3
3.5,109,221,131,617,0.5927601809954751,4.709923664122138,3
4.0,110,226,81,363,0.3584070796460177,4.481481481481481,3
4.5,118,233,129,611,0.5536480686695279,4.736434108527131,1
5.0,155,336,212,1013,0.6309523809523809,4.778301886792453,3
5.5,168,334,155,729,0.4640718562874251,4.703225806451614,3
6.0,184,337,195,927,0.5786350148367952,4.753846153846154,3
0.5,21,47,17,56,0.3617021276595745,3.294117647058824,2
1.0,37,73,22,79,0.3013698630136986,3.5909090909090913,2
1.5,50,106,31,124,0.29245283018867924,4.0,2
2.0,82,150,67,302,0.44666666666666666,4.507462686567164,1
2.5,71,147,94,432,0.6394557823129252,4.595744680851063,3
3.0,103,195,123,584,0.6307692307692307,4.747967479674797,3
3.5,92,185,89,407,0.4810810810810811,4.573033707865169,3
4.0,124,245,144,680,0.5877551020408164,4.722222222222221,3
4.5,152,316,185,876,0.5854430379746836,4.735135135135135,3
5.0,165,347,168,788,0.484149855907781,4.690476190476192,3
5.5,172,347,215,1025,0.6195965417867435,4.767441860465117,3
6.0,179,383,225,1081,0.5874673629242819,4.804444444444443,3
0.5,14,28,9,22,0.32142857142857145,2.4444444444444446,2
1.0,35,75,46,201,0.6133333333333333,4.369565217391305,2
1.5,58,115,61,274,0.5304347826086957,4.491803278688526,0
2.0,75,146,33,132,0.226027397260274,4.0,0
2.5,69,157,85,391,0.5414012738853503,4.6,3
3.0,88,177,91,424,0.5141242937853108,4.65934065934066,3
3.5,110,234,123,574,0.5256410256410257,4.666666666666667,3
4.0,126,267,139,653,0.5205992509363296,4.697841726618705,3
4.5,145,284,169,801,0.5950704225352113,4.739644970414201,3
5.0,147,293,172,818,0.5870307167235495,4.755813953488372,3
5.5,138,279,160,754,0.5734767025089605,4.7125,3
6.0,182,371,283,1378,0.7628032345013477,4.869257950530035,0
0.5,18,32,10,21,0.3125,2.1,2
