context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,n_ticks,alpha,beta,bin_conf
21,5,148,312,146,695,67708,0.46794871794871795,4.760273972602739,0
21,5,148,312,147,696,67712,0.47115384615384615,4.73469387755102,1
21,5,148,312,131,615,64922,0.4198717948717949,4.694656488549619,2
21,5,148,312,132,616,64926,0.4230769230769231,4.666666666666667,3
22,5.5,134,289,176,849,86255,0.6089965397923875,4.823863636363637,0
22,5.5,134,289,178,851,86262,0.615916955017301,4.780898876404494,1
22,5.5,134,289,173,831,91398,0.5986159169550173,4.803468208092486,2
22,5.5,134,289,175,833,91405,0.6055363321799307,4.76,3
23,6,159,348,202,980,107796,0.5804597701149425,4.851485148514851,0
23,6,159,348,204,982,107803,0.5862068965517241,4.813725490196078,1
23,6,159,348,190,910,108655,0.5459770114942529,4.7894736842105265,2
23,6,159,348,192,912,108662,0.5517241379310345,4.75,3
24,0.5,17,24,16,59,3978,0.6666666666666666,3.6875,0
24,0.5,17,24,16,59,3978,0.6666666666666666,3.6875,1
24,0.5,17,24,16,57,3814,0.6666666666666666,3.5625,2
24,0.5,17,24,16,57,3814,0.6666666666666666,3.5625,3
25,1,29,55,33,138,18465,0.6,4.181818181818182,0
25,1,29,55,33,138,18465,0.6,4.181818181818182,1
25,1,29,55,33,135,17918,0.6,4.090909090909091,2
25,1,29,55,33,135,17918,0.6,4.090909090909091,3
26,1.5,57,109,62,289,19973,0.5688073394495413,4.661290322580645,0
26,1.5,57,109,62,289,19973,0.5688073394495413,4.661290322580645,1
26,1.5,57,109,46,203,18358,0.42201834862385323,4.413043478260869,2
26,1.5,57,109,46,203,18358,0.42201834862385323,4.413043478260869,3
27,2,75,140,72,333,49629,0.5142857142857142,4.625,0
27,2,75,140,73,334,49633,0.5214285714285715,4.575342465753424,1
27,2,75,140,53,235,44853,0.37857142857142856,4.433962264150943,2
27,2,75,140,54,236,44857,0.38571428571428573,4.37037037037037,3
28,2.5,63,131,80,375,35196,0.6106870229007634,4.6875,0
28,2.5,63,131,81,376,35199,0.6183206106870229,4.6419753086419755,1
28,2.5,63,131,88,414,35706,0.6717557251908397,4.704545454545454,2
28,2.5,63,131,88,414,35706,0.6717557251908397,4.704545454545454,3
29,3,97,170,104,491,53011,0.611764705882353,4.721153846153846,0
29,3,97,170,105,492,53015,0.6176470588235294,4.685714285714286,1
29,3,97,170,101,472,50085,0.5941176470588235,4.673267326732673,2
29,3,97,170,102,473,50089,0.6,4.637254901960785,3
30,3.5,113,232,119,566,67400,0.5129310344827587,4.756302521008403,0
30,3.5,113,232,120,567,67404,0.5172413793103449,4.725,1
30,3.5,113,232,136,647,70273,0.5862068965517241,4.757352941176471,2
30,3.5,113,232,137,648,70277,0.5905172413793104,4.7299270072992705,3
31,4,115,226,134,637,55519,0.5929203539823009,4.753731343283582,0
31,4,115,226,135,638,55523,0.5973451327433629,4.725925925925926,1
31,4,115,226,123,577,56451,0.5442477876106194,4.691056910569106,2
31,4,115,226,124,578,56455,0.5486725663716814,4.661290322580645,3
