context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
2,1.5,34,90,50,136,0.5555555555555556,0.36764705882352944,25
2,1.5,34,90,49,139,0.5444444444444444,0.35251798561151076,26
2,1.5,34,90,49,139,0.5444444444444444,0.35251798561151076,27
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,0
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,1
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,2
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,3
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,4
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,5
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,6
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,7
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,8
3,2,49,136,72,238,0.5294117647058824,0.3025210084033613,9
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,10
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,11
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,12
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,13
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,14
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,15
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,16
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,17
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,18
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,19
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,20
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,21
3,2,49,136,60,236,0.4411764705882353,0.2542372881355932,22
3,2,49,136,60,238,0.4411764705882353,0.25210084033613445,23
3,2,49,136,72,231,0.5294117647058824,0.3116883116883117,24
3,2,49,136,72,231,0.5294117647058824,0.3116883116883117,25
3,2,49,136,72,238,0.5294117647058824,0.3025210084033613,26
3,2,49,136,72,238,0.5294117647058824,0.3025210084033613,27
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,0
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,1
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,2
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,3
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,4
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,5
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,6
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,7
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,8
4,2.5,56,139,75,224,0.539568345323741,0.33482142857142855,9
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,10
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,11
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,12
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,13
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,14
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,15
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,16
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,17
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,18
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,19
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,20
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,21
4,2.5,56,139,67,206,0.48201438848920863,0.32524271844660196,22
4,2.5,56,139,67,214,0.48201438848920863,0.3130841121495327,23
4,2.5,56,139,76,216,0.5467625899280576,0.35185185185185186,24
4,2.5,56,139,76,216,0.5467625899280576,0.35185185185185186,25
4,2.5,56,139,75,224,0.539568345323741,0.33482142857142855,26
4,2.5,56,139,75,224,0.539568345323741,0.33482142857142855,27
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,0
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,1
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,2
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,3
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,4
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,5
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,6
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,7
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,8
5,3,47,127,70,211,0.5511811023622047,0.33175355450236965,9
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,10
5,3,47,127,58,208,0.4566929133858268,0.27884615384615385,11
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,12
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,13
5,3,47,127,58,205,0.4566929133858268,0.28292682926829266,14
