context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,n_ticks,alpha,beta,bin_conf
10,5.5,338,888,494,2408,412006,0.5563063063063063,4.874493927125506,2
10,5.5,338,888,501,2415,412031,0.5641891891891891,4.820359281437126,3
11,6,359,941,548,2706,451253,0.5823591923485654,4.937956204379562,0
11,6,359,941,559,2715,451293,0.594048884165781,4.856887298747764,1
11,6,359,941,530,2590,457061,0.563230605738576,4.886792452830188,2
11,6,359,941,538,2598,457090,0.5717321997874601,4.828996282527881,3
12,0.5,24,63,27,113,29373,0.42857142857142855,4.185185185185185,0
12,0.5,24,63,27,113,29373,0.42857142857142855,4.185185185185185,1
12,0.5,24,63,25,99,27808,0.3968253968253968,3.96,2
12,0.5,24,63,25,99,27808,0.3968253968253968,3.96,3
13,1,57,151,76,351,50562,0.5033112582781457,4.618421052631579,0
13,1,57,151,77,352,50566,0.5099337748344371,4.571428571428571,1
13,1,57,151,48,209,51200,0.31788079470198677,4.354166666666667,2
13,1,57,151,49,210,51204,0.32450331125827814,4.285714285714286,3
14,1.5,83,220,121,577,93427,0.55,4.768595041322314,0
14,1.5,83,220,123,579,93435,0.5590909090909091,4.7073170731707314,1
14,1.5,83,220,118,558,93544,0.5363636363636364,4.728813559322034,2
14,1.5,83,220,120,560,93552,0.5454545454545454,4.666666666666667,3
15,2,127,346,194,936,115481,0.5606936416184971,4.824742268041237,0
15,2,127,346,195,934,115425,0.5635838150289018,4.78974358974359,1
15,2,127,346,160,759,110686,0.4624277456647399,4.74375,2
15,2,127,346,161,757,110630,0.4653179190751445,4.701863354037267,3
16,2.5,159,419,232,1134,182892,0.5536992840095465,4.887931034482759,0
16,2.5,159,419,236,1138,182907,0.5632458233890215,4.822033898305085,1
16,2.5,159,419,213,1024,187419,0.5083532219570406,4.807511737089202,2
16,2.5,159,419,216,1027,187430,0.5155131264916468,4.75462962962963,3
17,3,184,502,298,1455,150366,0.5936254980079682,4.882550335570469,0
17,3,184,502,301,1458,150378,0.599601593625498,4.843853820598007,1
17,3,184,502,262,1263,156095,0.5219123505976095,4.820610687022901,2
17,3,184,502,264,1265,156103,0.5258964143426295,4.791666666666667,3
18,3.5,199,523,285,1393,222416,0.5449330783938815,4.887719298245614,0
18,3.5,199,523,290,1398,222435,0.5544933078393881,4.820689655172414,1
18,3.5,199,523,216,1041,218538,0.4130019120458891,4.819444444444445,2
18,3.5,199,523,220,1045,218554,0.42065009560229444,4.75,3
19,4,221,595,332,1618,212393,0.5579831932773109,4.873493975903615,0
19,4,221,595,337,1623,212411,0.5663865546218487,4.816023738872404,1
