context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,n_ticks,alpha,beta,bin_conf
13,1,26,46,27,114,15645,0.5869565217391305,4.222222222222222,1
13,1,26,46,24,96,13228,0.5217391304347826,4.0,2
13,1,26,46,24,96,13228,0.5217391304347826,4.0,3
14,1.5,49,92,45,203,26286,0.4891304347826087,4.511111111111111,0
14,1.5,49,92,45,203,26286,0.4891304347826087,4.511111111111111,1
14,1.5,49,92,47,212,27718,0.5108695652173914,4.51063829787234,2
14,1.5,49,92,47,212,27718,0.5108695652173914,4.51063829787234,3
15,2,51,109,61,277,33672,0.5596330275229358,4.540983606557377,0
15,2,51,109,61,277,33672,0.5596330275229358,4.540983606557377,1
15,2,51,109,60,269,32950,0.5504587155963303,4.483333333333333,2
15,2,51,109,60,269,32950,0.5504587155963303,4.483333333333333,3
16,2.5,75,169,100,471,42509,0.591715976331361,4.71,0
16,2.5,75,169,100,471,42509,0.591715976331361,4.71,1
16,2.5,75,169,42,177,33676,0.2485207100591716,4.214285714285714,2
16,2.5,75,169,42,177,33676,0.2485207100591716,4.214285714285714,3
17,3,99,200,117,555,81637,0.585,4.743589743589744,0
17,3,99,200,119,557,81645,0.595,4.680672268907563,1
17,3,99,200,83,386,77693,0.415,4.650602409638554,2
17,3,99,200,85,388,77701,0.425,4.564705882352941,3
18,3.5,110,210,120,570,59385,0.5714285714285714,4.75,0
18,3.5,110,210,121,571,59389,0.5761904761904761,4.7190082644628095,1
18,3.5,110,210,109,510,59728,0.5190476190476191,4.678899082568807,2
18,3.5,110,210,110,511,59732,0.5238095238095238,4.6454545454545455,3
19,4,106,179,98,465,53133,0.547486033519553,4.744897959183674,0
19,4,106,179,99,466,53137,0.553072625698324,4.707070707070707,1
19,4,106,179,93,433,54685,0.5195530726256983,4.655913978494624,2
19,4,106,179,94,434,54689,0.5251396648044693,4.617021276595745,3
20,4.5,153,315,198,957,132962,0.6285714285714286,4.833333333333333,0
20,4.5,153,315,201,960,132974,0.638095238095238,4.776119402985074,1
20,4.5,153,315,164,779,130414,0.5206349206349207,4.75,2
20,4.5,153,315,166,781,130422,0.526984126984127,4.704819277108434,3
21,5,139,290,175,844,101433,0.603448275862069,4.822857142857143,0
21,5,139,290,177,846,101439,0.6103448275862069,4.779661016949152,1
21,5,139,290,156,746,99719,0.5379310344827586,4.782051282051282,2
21,5,139,290,158,748,99725,0.5448275862068965,4.734177215189874,3
22,5.5,159,317,209,1012,112421,0.6593059936908517,4.842105263157895,0
22,5.5,159,317,211,1014,112428,0.6656151419558359,4.805687203791469,1
22,5.5,159,317,182,870,112463,0.5741324921135647,4.78021978021978,2
