context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,18
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,19
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,20
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,21
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,22
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,23
1,1,15,41,22,28,0.5365853658536586,0.7857142857142857,24
1,1,15,41,22,28,0.5365853658536586,0.7857142857142857,25
1,1,15,41,22,29,0.5365853658536586,0.7586206896551724,26
1,1,15,41,22,29,0.5365853658536586,0.7586206896551724,27
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,0
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,1
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,2
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,3
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,4
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,5
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,6
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,7
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,8
2,1.5,23,62,35,104,0.5645161290322581,0.33653846153846156,9
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,10
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,11
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,12
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,13
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,14
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,15
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,16
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,17
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,18
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,19
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,20
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,21
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,22
2,1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,23
2,1.5,23,62,35,103,0.5645161290322581,0.33980582524271846,24
2,1.5,23,62,35,103,0.5645161290322581,0.33980582524271846,25
2,1.5,23,62,35,104,0.5645161290322581,0.33653846153846156,26
2,1.5,23,62,35,104,0.5645161290322581,0.33653846153846156,27
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,0
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,1
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,2
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,3
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,4
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,5
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,6
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,7
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,8
3,2,39,104,57,169,0.5480769230769231,0.33727810650887574,9
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,10
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,11
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,12
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,13
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,14
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,15
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,16
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,17
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,18
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,19
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,20
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,21
3,2,39,104,49,171,0.47115384615384615,0.28654970760233917,22
3,2,39,104,49,173,0.47115384615384615,0.2832369942196532,23
3,2,39,104,57,163,0.5480769230769231,0.3496932515337423,24
3,2,39,104,57,163,0.5480769230769231,0.3496932515337423,25
3,2,39,104,57,169,0.5480769230769231,0.33727810650887574,26
3,2,39,104,57,169,0.5480769230769231,0.33727810650887574,27
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,0
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,1
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,2
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,3
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,4
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,5
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,6
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,7
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,8
4,2.5,55,150,81,260,0.54,0.31153846153846154,9
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,10
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,11
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,12
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,13
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,14
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,15
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,16
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,17
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,18
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,19
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,20
