rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
4.5,87,230,102,353,0.4434782608695652,0.28895184135977336,2
5.0,114,308,134,431,0.43506493506493504,0.3109048723897912,2
5.5,96,256,114,426,0.4453125,0.2676056338028169,2
6.0,118,320,141,546,0.440625,0.2582417582417583,2
3.5,78,210,96,426,0.4571428571428571,0.22535211267605634,2
4.0,106,279,125,444,0.4480286738351255,0.28153153153153154,2
4.5,93,248,113,452,0.4556451612903226,0.25,2
5.0,112,298,136,557,0.4563758389261745,0.24416517055655296,2
5.5,111,294,133,524,0.4523809523809524,0.2538167938931298,2
6.0,151,395,172,503,0.4354430379746835,0.341948310139165,2
3.5,85,231,106,487,0.4588744588744589,0.2176591375770021,2
4.0,74,195,86,255,0.44102564102564096,0.33725490196078434,2
4.5,102,271,122,440,0.4501845018450185,0.2772727272727273,2
5.0,123,325,139,416,0.4276923076923077,0.33413461538461536,2
5.5,106,277,126,429,0.4548736462093863,0.2937062937062937,2
6.0,108,290,133,607,0.4586206896551724,0.21911037891268534,2
3.5,69,183,83,287,0.453551912568306,0.28919860627177696,2
4.0,91,246,112,454,0.4552845528455284,0.24669603524229075,2
4.5,88,233,107,437,0.4592274678111588,0.2448512585812357,2
5.0,101,270,121,462,0.4481481481481481,0.2619047619047619,2
5.5,141,372,169,661,0.4543010752688172,0.2556732223903177,2
6.0,107,294,132,586,0.4489795918367347,0.2252559726962457,2
3.5,70,196,87,366,0.44387755102040816,0.2377049180327869,2
4.0,75,196,91,324,0.4642857142857143,0.2808641975308642,2
4.5,86,230,102,354,0.4434782608695652,0.288135593220339,2
5.0,109,295,131,527,0.4440677966101695,0.24857685009487665,2
5.5,104,280,124,480,0.4428571428571429,0.25833333333333336,2
6.0,108,284,128,475,0.4507042253521127,0.2694736842105263,2
3.5,72,188,85,281,0.4521276595744681,0.302491103202847,2
4.0,86,229,105,405,0.4585152838427948,0.25925925925925924,2
4.5,81,213,96,328,0.4507042253521127,0.2926829268292683,2
5.0,102,259,118,398,0.4555984555984556,0.2964824120603015,2
5.5,106,278,126,446,0.4532374100719425,0.2825112107623318,2
6.0,112,303,138,607,0.4554455445544554,0.2273476112026359,2
3.5,70,188,86,335,0.4574468085106383,0.2567164179104477,2
4.0,72,188,85,298,0.4521276595744681,0.28523489932885904,2
4.5,97,257,115,404,0.4474708171206226,0.28465346534653463,2
5.0,99,268,121,520,0.4514925373134329,0.2326923076923077,2
5.5,89,236,100,261,0.42372881355932196,0.3831417624521073,2
6.0,110,290,128,442,0.4413793103448276,0.2895927601809955,2
3.5,78,208,96,370,0.4615384615384616,0.2594594594594595,2
4.0,90,246,110,453,0.4471544715447153,0.24282560706401765,2
4.5,91,249,113,498,0.4538152610441767,0.22690763052208834,2
